Computer,DeleteStatus,CreatedDateTime,ObjectID,DeviceID
DuplicateDevice490,Do Not Delete,2021-05-27T04:34:27Z,3acc30cf-faeb-4585-beb9-18b765f8eebc,7d34c69d-08e6-460a-b598-2db52fed9069
DuplicateDevice271,Do Not Delete,2021-05-27T02:43:38Z,da3dce5f-4785-4501-941c-dd55fe125f85,64edb87d-7bf7-4704-a40e-2c13e32c8c7c
DuplicateDevice328,Do Not Delete,2021-05-27T03:12:28Z,d2cf5490-61f4-4fde-8a85-972cfd38ac41,5a02de52-22b2-484e-9a1a-f1b5984fa140
DuplicateDevice232,Do Not Delete,2021-05-27T02:23:53Z,4a5b5dd9-0174-44f0-989a-aeb6bcd40507,26e7e1a0-44dc-4938-93c4-d0b968d4e74a
DuplicateDevice223,Do Not Delete,2021-05-27T02:19:20Z,6aba0a66-262f-4e90-a216-2833515e4e4d,93404e62-f4d9-408e-88c8-540859b9ce6c
DuplicateDevice230,,2021-05-27T02:22:43Z,d681b90b-7b16-4b35-8abf-8dc59ace408b,d07f5803-5323-4cd8-9a87-b5624d3ba59b
DuplicateDevice230,,2021-05-27T02:22:24Z,54ef1f37-9556-4d83-84d6-bd06232fbcb5,3bbe866b-9384-4e7f-909e-09e276d89ca9
DuplicateDevice230,,2021-05-27T02:22:39Z,2be22bfa-6632-48a6-b998-3164a4617410,1fde2c20-8420-46ca-ae1b-88d6d98e9e8d
DuplicateDevice230,,2021-05-27T02:22:35Z,09abb1e8-313f-4984-b829-85c551ef82e2,36df3135-3851-4d61-a953-ddcdc847002d
DuplicateDevice230,,2021-05-27T02:22:30Z,4b9a7b72-8f30-4d72-80cf-ab5f514c2a1e,7b8156b2-e4a0-4618-bed0-c1a47e99f381
DuplicateDevice230,,2021-05-27T02:22:28Z,255d8e03-f465-47de-80d8-e42bc0f1d875,91b5a377-fafe-46fe-b52f-ebbd853d0103
DuplicateDevice230,,2021-05-27T02:22:50Z,b6305e91-6732-4200-9243-650f8821c21f,dcc8588c-68ed-4548-b523-6e0df395cde6
DuplicateDevice230,,2021-05-27T02:22:33Z,810a459a-0948-4f0b-920a-539853105300,e3d7c58d-8710-41bd-9752-7a72309432d6
DuplicateDevice230,Do Not Delete,2021-05-27T02:22:52Z,57332f6c-7e4d-4f61-aece-d6d949dfd085,15b9f501-e522-4466-b66a-0679052ed2ef
DuplicateDevice230,,2021-05-27T02:22:48Z,30646c97-5b5b-4d49-b2e7-5f002d079c82,d1c85e13-cc07-4db1-989e-97427d7c5e14
DuplicateDevice230,,2021-05-27T02:22:26Z,66aa202f-0e0a-4819-9df0-cd28fa09c4b5,fa535e62-e681-49be-83f6-ff20ecdeb1aa
DuplicateDevice334,Do Not Delete,2021-05-27T03:15:30Z,37b9b024-3ea4-4486-aa25-60bae41a4093,d2d67626-e89a-4937-8c3a-21d8d846962a
DuplicateDevice334,,2021-05-27T03:15:17Z,54efa25d-90d6-48ff-a7b0-d7f1ba817b44,c92dd8b6-2884-48ab-91a3-37b78784c021
DuplicateDevice334,,2021-05-27T03:15:19Z,6f12206a-793a-47c1-b754-349b4249c71f,6558f5af-5b28-4445-8321-6e903f7d8296
DuplicateDevice334,,2021-05-27T03:15:25Z,4ef33438-e5b0-4b3f-b2f7-d65c083f9443,e84d0cd6-ab85-48c4-9eb1-c39d83e6580f
DuplicateDevice334,,2021-05-27T03:15:04Z,05d87564-f1a2-497a-88c6-9a4bb5c2e1cd,1d09f82c-5f27-4e6c-aa7c-dcfb2f5cb3c6
DuplicateDevice334,,2021-05-27T03:15:28Z,697fda29-ac33-4ebf-8595-67e7dd601f74,b065e6a8-83a3-404e-a99f-1aa350050888
DuplicateDevice334,,2021-05-27T03:15:10Z,241d7bba-3c98-4a3c-94fa-ae4eef989a46,229f7ab8-e3b7-495b-83e2-3c5ecae5d86d
DuplicateDevice334,,2021-05-27T03:15:06Z,d7b26894-a812-46be-9c6e-e65bf1610344,c9111118-67be-4ce7-9d51-3a6d26f13a23
DuplicateDevice334,,2021-05-27T03:15:12Z,5877173f-a317-4e71-8fbc-4e2ccf781533,5d0fa7e1-192e-4258-8a4d-08b3035665ae
DuplicateDevice334,,2021-05-27T03:15:21Z,72171397-3a49-4db9-b4c6-63fff3a83634,a3a7de72-af95-458e-8abf-bb5eb31b1b85
DuplicateDevice334,,2021-05-27T03:15:02Z,0766af38-b552-4ca0-bc24-712a7b60a96f,f24c3e0e-c71c-45e0-a979-3abfb984404b
DuplicateDevice334,,2021-05-27T03:15:08Z,ffe1ac47-9ce7-4771-866d-7f83455f9a1a,03e8e8d5-027a-4c7c-9230-379ca68beb01
DuplicateDevice334,,2021-05-27T03:15:15Z,ebac485c-ff04-47f5-b661-2b008cf7fe93,7a08e080-d730-41c2-abba-f15a972b848b
DuplicateDevice334,,2021-05-27T03:15:23Z,685042a2-fb8b-451e-8198-a192f81adfa5,3c33d1a6-8e4b-4d0e-9087-1dcb3d765ca5
DuplicateDevice471,,2021-05-27T04:24:42Z,b1584a5b-c089-4e6d-b329-5974c9b813f2,30c03c18-b61f-46d5-b2b9-7fec1788f387
DuplicateDevice471,,2021-05-27T04:24:40Z,0ed410a1-09b3-488c-9d29-6d2b3d25337f,769196d4-fe2e-41bd-b3f5-f6e08a7c7522
DuplicateDevice471,,2021-05-27T04:24:29Z,926e983f-1406-4ac1-b423-035f4f0de99f,dba1d243-c3fa-4323-b7c2-4b1a4dfee06c
DuplicateDevice471,,2021-05-27T04:24:38Z,93609b3c-942f-4927-b584-9ebf03c93287,30c10dbd-5c3b-4d4d-9214-23a5c699ccc7
DuplicateDevice471,,2021-05-27T04:24:46Z,ed9650cc-2861-4e51-8c2e-a530a8391a17,0c749bd8-2afe-4bda-83e8-2265fa112cef
DuplicateDevice471,,2021-05-27T04:24:31Z,1902c1a8-a9bd-4353-ba07-ab873c10d8e1,9a09f6f3-25b4-4e9b-9851-61df986ef822
DuplicateDevice471,,2021-05-27T04:24:48Z,24cac00b-d3c8-4099-9e2d-1ab960137817,91fef17f-971f-49a9-9019-58606e8931b6
DuplicateDevice471,,2021-05-27T04:24:22Z,99a72f1e-0242-4622-a5c1-44bb26d2e1ff,cd57e69d-4e58-482a-aca2-23e62be6a2ee
DuplicateDevice471,Do Not Delete,2021-05-27T04:24:50Z,13425436-ae43-4f5e-a011-dae0b57ce01e,e01c1901-e1a7-45c2-9dfa-ee380bfa3033
DuplicateDevice471,,2021-05-27T04:24:35Z,f7ce78d0-5ced-44c6-87ad-43ee6e645fe2,561976b7-cf63-4448-9e36-8fc5f2c72f30
DuplicateDevice471,,2021-05-27T04:24:44Z,d4e3ba59-494a-49fb-bb6a-1ee2ab041274,3b3fc6e4-3446-4e19-9346-1bfb75331062
DuplicateDevice471,,2021-05-27T04:24:33Z,2e2de1de-a193-4d9e-9c23-0391e80ebf4b,48913cf3-283d-41f0-97e3-7937a0114d6d
DuplicateDevice471,,2021-05-27T04:24:25Z,b712b3d4-ea5c-4278-9481-6e4c5e58faec,cd834497-479e-44db-b916-ae76bf6f6441
DuplicateDevice471,,2021-05-27T04:24:27Z,2902e3eb-3988-4606-9fe6-6e2ebf740641,65037f75-16d8-4d00-b7d3-43fa6f1970d8
DuplicateDevice316,Do Not Delete,2021-05-27T03:06:24Z,5438ce5a-801a-4c43-b141-233880c2ed2a,af9b74f1-cce9-4ba5-80d4-b64b8a430531
DuplicateDevice316,,2021-05-27T03:05:56Z,c9b44bef-c6e9-4bd1-b158-76e42b87d0e5,43db132f-8efa-4d74-96bd-f9f2f65dc9ad
DuplicateDevice316,,2021-05-27T03:06:13Z,f331759b-176c-4249-a32c-e5c8883fb638,d4de98d1-c3a2-46e9-995a-1e50b34122c4
DuplicateDevice316,,2021-05-27T03:05:58Z,da361ff2-17ba-46f3-bfa2-7890bf607d4d,1557c269-5022-4e82-ba15-b39b63833bbc
DuplicateDevice316,,2021-05-27T03:06:11Z,812c75c6-5461-405b-9fee-160819c3a4f6,727c1f1e-23a0-4d2f-b5f7-216daae049f6
DuplicateDevice316,,2021-05-27T03:06:09Z,0b10e874-3deb-4717-8cdd-3598576c246e,9c23e185-9933-41f7-8d35-46424ef483c8
DuplicateDevice316,,2021-05-27T03:06:02Z,970459ce-b5e4-444a-8761-ee18d2b7cbd0,67e264d8-c215-429c-851b-3c823ddd3351
DuplicateDevice316,,2021-05-27T03:06:05Z,871a6414-05e6-4571-8a3c-ad70cbf828ea,fa40c7a5-e294-44e3-9d12-6ffee73085cf
DuplicateDevice316,,2021-05-27T03:06:15Z,4d2fe481-00ed-4a26-a9ca-ed01737a7f9e,14b90f4b-f92f-4703-baf4-0b7e92081d1e
DuplicateDevice316,,2021-05-27T03:06:18Z,80d55bff-b331-44e7-abd2-189562ea01cb,2f3dba26-f0c4-487e-b67c-5f19e8e88b51
DuplicateDevice316,,2021-05-27T03:06:00Z,f9e41e32-5ade-4469-a480-d51c4be5ffbe,763797a5-92f7-4b97-9ce1-1319dad68266
